"Opportunity Name","Opportunity Type","Description","Organization","Grade Level","Financial Aid","State","Cost","Start Date","End Date","Deadline Date","Contact First Name","Contact Last Name","Contact Phone Number","Contact Email","Application URL","Opportunity Category","GPA","Race","Gender","Major","Recommendation","Essay","Renewable","Scholarship Amount"
"UH Pharmacy Summer Camp","Summer Opportunity ","University of Houston
 In effort to encourage the pursuit of professional pharmacy and other health and research careers in Science, Technology, Engineering and Mathematics (STEM) fields, UH College of Pharmacy offers a 3 1/2-day Pharmacy Summer Camp for junior and senior high school students, typically in June.
 The cost of the camp is $250 per person. Upon acceptance, participants/parents will be notified with further instructions and payment remittance.
 Each day's activities will begin and endл_at UH'sл_Texas Medical Center Campusл_(not on UH Main Campus).л_
 Light breakfast and lunch will be provided to participants each day at no additional cost (please notify the college contact below of any special dietary requirements/restrictions).
 Please note: Attendees are responsible for transportation to and from the TMC campus as well as any fees for use of TMC Parking Garages. Overnight housing will not be provided by the college.
 All application materials must be received (not postmarked) by 4:30 p.m. Monday, June 1, at the following address:
 Applicants will be notified of acceptance by Monday, June 8. л_
 By 4:30 p.m. Monday, June 15, the following items are required in order to secure registration: 1) Payment in full by check or money order in the amount of $250; and 2) proof of health insurance coverage.
 For more information, please contact Nekesa Sapp at 713-743-1261.
 Persons with disabilities who desire accommodations should contact Dr. Paige Pitman at 832-842-8376 by June 15, 2015.","University of Houston","11,12","Yes","Texas","$250.00","6/16/2021","6/20/2021","4/15/2021","Nekesha","Sapp","713-743-1261","nsapp@uh.edu","http://www.uh.edu/pharmacy/news-and-events/events/summer-camp/","Science Health and Medicine","","","","","","","",""
"YOUatUT","Summer Opportunity ","YOUatUT is a one day pre-college event for high school students (9th-12th grade students) interested in exploring the different engineering fields that The University of Texas at Austin has to offer. Discover how engineering is a profitable and flexible career with unlimited possibilities such as working in medicine, law, research and a wide variety of other industries.","University of Texas at Austin","9,10,11,12","No","Texas","$250.00","8/1/2021","8/1/2021","3/15/2021","Tricia","Berry","512-471-5650","wep@engr.utexas.edu","https://www.engr.utexas.edu/wep/k-12-programs/camps/you-at-ut","Technology Math and Engineering","","","","","","","",""
"Hospitality Industry Summer Camp","Summer Opportunity ","For high-school students interested in hotels, restaurants, catering, clubs, casinos and related fields, Hilton College's Hospitality Industry Summer Camp Program is an ideal opportunity to visit the College and explore hospitality professions.
 Students who attend these three-day experiential camps, which are held every June, learn about the hospitality industry firsthand by touring some of Houston's top hospitality destinations. They meet with leading industry executives to learn more about the variety of career possibilities in hospitality, prepare gourmet meals with our hotel's executive chef and take classes. Prospective students learn more about the College and university life by interacting with Hilton College students and touring the campus. They also stay in Cougar Village, one of the University_Сйs dormitories.
 Cost is $275 per student, and scholarships are available for students on a free- or reduced-lunch program. Camps are limited to 25 students.
 Hilton College will host three sessions of high school summer camps in 2015:","University of Houston Main Campus","9,10,11,12","Yes","Texas","$275.00","6/8/2021","6/12/2021","4/1/2021","Caitlin","Fuller","713.743.7632"," cfuller2@uh.edu","https://www.uh.edu/hilton-college/students/future-students/high-school-summer-camps/","Leadership Business and Finance","","","","","","","",""
"G.R.A.D.E Camp","Summer Opportunity ","G.R.A.D.E. CAMP is a week-long day program designed specifically for entering 8th to 12th grade girls who want to find out what engineering is all about through ""hands-on"" experience. G.R.A.D.E. CAMP emphasizes career exposure rather than career choice, so you can come just to experience something new.","University of Houston","9,10,11,12","Yes","Texas","$300.00","6/8/2021","6/12/2021","5/1/2021","GRADE","Camp","713-743-2255","grade.uh@gmail.com","https://www.egr.uh.edu/grade/about","Technology Math and Engineering","","","","","","","",""
"Texas Governor's School","Summer Opportunity ","The Texas Governors School was established by the Texas Legislature to provide a rich and challenging academic experience for advanced high school students. Lamar University is sponsoring a 2014 Texas Governor's School in Beaumont, Texas.
 

 FOCUS
 The Texas Governor's School at Lamar University will focus on leadership in the Humanities, Language Arts, Mathematics, Fine Arts, and Science. Opportunities will be provided for students to address problems and issues in advanced content with problem-based strategies. Students will be introduced to a range of topics in classes which are not for credit; however, participating students will learn how to become more motivated and persistent in activities with students of similar interests and ability.","Lamar University","9,10,11","No","Texas","$350.00","6/7/2021","6/21/2021","5/11/2021","Dorothy","Sisk","(409) 880-8046","siskda@lamar.edu ","https://www.lamar.edu/education/partnerships-and-initiatives/texas-governors-school/tgs-application.html","Leadership Business and Finance","","","","","","","",""
"SCAD Summer Seminars","Summer Opportunity ","SCAD Summer Seminars offer workshops for continuing high school students who have completed their freshman, sophomore or junior years. Students gain valuable educational experience while developing their creative vision through exciting art and design assignments and projects.","Savannah College of Art and Design","10, 11, 12","Yes","Georgia","$350.00","7/6/2021","7/10/2021","9/30/2021","Savannah","Summer","800.869.7223","savannahsss@scad.edu","http://www.scad.edu/academics/pre-college-summer-programs/scad-summer-seminars","Arts Design and Communication","","","","","","","",""
"All State Choral Music Camp","Summer Opportunity ","Come participate in one of the finest All-State Choir Camps in Texas as you prepare the music for the Texas Music Educators Association All-State Choir. Begin the fall already prepared on the All-State music. You can be 'auditions ahead.' We will have an enjoyable time together, as this is an outstanding learning experience for each participant. With a wonderful camp faculty, you will receive superb training on the music used for this year's All-District, Zone, All-Area, and All-State auditions.","Baylor University","9,10,11","Yes","Texas","$395.00","7/7/2021","7/11/2021","1/1/2021","Lori","Clifton","(254) 710-4211","Lori_Clifton@baylor.edu","http://www.baylor.edu/busmc/index.php?id=929211","Arts Design and Communication","","","","","","","",""
"Minority Introduction to Engineering and Science","Summer Opportunity ","","Prairie View A&M University","9,10,11","No","Texas","$450.00","6/10/2021","6/15/2021","3/10/2021","Glenda","Jones","936-261-3570","gljones@pvamu.edu","https://www.pvamu.edu/careerservices/services/handshake/pre-college-enrichment/","Technology Math and Engineering","","","","","","","",""
"Science Career Opportunities Enhancement","Summer Opportunity "," Science Careers Opportunities Enhancement – offered to highly competitive students interested in becoming a medical doctor, dentist, veterinarian, nurse, physical therapists, physician’s assistant or other allied health professional. SCOPE is co-sponsored by the College of Arts and Sciences and the Department of Biology.","Prairie View A&M University","9,10,11","No","Texas","$450.00","6/10/2021","6/15/2021","3/10/2021","Glenda","Jones","936-261-3570","gljones@pvamu.edu","https://www.pvamu.edu/careerservices/services/handshake/pre-college-enrichment/","Science Health and Medicine","","","","","","","",""
"Business for Academic and Scholarly Inclined Students","Summer Opportunity ","Business for Academic and Scholarly Inclined Students – offered to students interested in the business professions with emphasis on accounting, finance, information systems, management and marketing. BASIS is co-sponsored by the College of Business.","Prairie View A&M University","9,10,11","No","Texas","$450.00","6/10/2021","6/15/2021","3/10/2021","Glenda","Jones","936-261-3570","gljones@pvamu.edu","https://www.pvamu.edu/careerservices/services/handshake/pre-college-enrichment/","Leadership Business and Finance","","","","","","","",""
"Notre Dame Vision","Summer Opportunity ","Notre Dame Vision is a 5-day experience on the Notre Dame campus designed to help participants discover and renew God’s call in their lives. Connect with hundreds of other high school students as you learn from the witness of the saints and develop practices to live your faith. Immerse yourself in the Notre Dame campus and sharpen your spiritual vision to recognize God’s grace at work in your life. With the rich insights of nationally-known speakers and the mentorship of active college students, in large group sessions and in small faith-sharing peer groups, Notre Dame Vision gives you the space and  community to ask big questions about how God is calling you to use your talents in service to the Church and world.","University of Notre Dame","9,10,11,12","Yes","Indiana","$450.00","7/17/2021","7/24/2021","3/28/2021","McGrath","Institute","574.631.5510","ndvi@nd.edu","https://mcgrath.nd.edu/about/centers-initiatives-and-programs/notre-dame-vision/","Leadership Business and Finance","","","","","","","",""
"High School Summer Institute","Summer Opportunity ","The Health Careers Opportunity Program (HCOP) High School Summer Institute is designed for high school students interested in pursuing a career in a health profession. The four week program will provide a wide range of educational and social experiences for thirty 9th 10th and 11th grade students (to be rising 10th, 11th, and 12th grade) students next fall. The entire experience is designed to enhance participants’ academic abilities, social skills, and other competencies to increase their competitiveness for admission to a post-secondary health professions program. The Institute will be delivered through a series of structured, supervised activities including: organized lecture/discussions; formal classroom activities; mini-courses; specialized online courses; laboratory experiences; seminars; exposure to clinical and simulated settings in health care facilities; and college practice laboratories. The non-residential summer program is conducted on the FAMU campus.","Florida Agricultural and Mechanical University","9,10,11","No","Florida","$500.00","6/1/2021","6/26/2021","4/30/2021","Patricia","Graham","850-561-2001","patricia.graham@famu.edu","http://www.famu.edu/index.cfm?alliedHealth&HCOPSUMMERINSTITUTE","Science Health and Medicine","","","","","","","",""
"Summer PreDental Enrichment Program","Summer Opportunity ","SPEP for High School Students
 These programs are designed to increase students' dental career awareness, pre-dental hand skills, study skills and preparation for admission to college.","Texas A&M University","11,12","Yes","Texas","$500.00","7/13/2021","7/17/2021","3/31/2021","Willie","Alexander","(214) 828-8996","walexander@tamu.edu   ","https://dentistry.tamhsc.edu/student-development/spep-programs/high-school.html","Science Health and Medicine","","","","","","","",""
"Baylor Summer Music Camps - High School Band and Orchestra Camp","Summer Opportunity ","Baylor University Summer Music Camps
 BaylorWelcome to CampCamps Baylor л_>л_ Welcome to Camp л_>л_ Camps л_>л_High School Band and Orchestra Camp Band: Grades 9-12 The Baylor University School of Music annual High School Band and Orchestra Camp offers one week of intense training in all facets of wind and string playing. Camp students are under the artistic guidance of the outstanding Baylor instrumental and ensemble faculty. Since its inception thirty-three years ago, the Baylor Instrumental Music Camp has won acclaim for the quality of performance achieved within one week of rehearsals. The close relationship between students and faculty provides significant musical growth demonstrated in the performance of The Grand Concert. Students will be involved in large ensemble rehearsals, chamber music sessions, and master class lessons on their instrument. Students are assigned to a chamber group that will best fit their playing experience and strengths. Master class lessons are taught by the Baylor faculty and camp staff giving each student the opportunity to receive personal attention. Recreational activities include swimming, basketball, soccer, softball, and evening socials. Students are under careful supervision by camp counselors during all activities. Students will be housed in regular Baylor dormitories. Roommates will be assigned unless roommate requests are received in advance. Although we cannot guarantee that each camper will be roomed with the individual he/she requests, we do our best to honor all roommate requests. Dormitory rooms accommodate two students. We won't know which dormitory the camp will be using until May. While in the dormitories, all camp students will be under the careful supervision of the camp staff, and security will be a priority. All meals will be served in university dining halls and will begin with dinner on Sunday, June 14 and end with breakfast on Saturday, June 20. The cost of the seven-day camp is $515.00 which includes tuition, dormitory, meals, and activities. Commuter students may elect not to stay in the dorm and pay $355.00 which includes tuition, lunch, and camp activities. Commuter students may purchase breakfast and dinner for the week for an additional $75. The camp is open to all woodwind, brass, and percussion students who will enter grades 9-12 and string students who will enter grades 10-12 during the Fall semester of 2015. String students entering the ninth grade may be admitted with permission from the respective string faculty and the orchestra director. Students are required to have played their instrument for at least two years. Each student will be asked to audition for placement in the ensembles for the camp. Audition materials will be placed on our website by mid-May. You may also be asked to sight read and/or perform your major scales. **An email will be sent out to everyone registered once the music is available on our website.** Camp enrollment is limited to 350 students and is filled on a first-come, first-served basis. Application for registration must be received no later than May 30, 2015. To secure registration, applications must be accompanied by a $100 non-refundable deposit and completed medical and general release forms. Note: The $100 deposit will be applied toward to the total cost of the camp.","Baylor University","9,10,11,12","No","Texas","$515.00","6/14/2021","6/20/2021","1/1/2021","Lori","Clifton","254.710.1162","Lori_Clifton@baylor.edu","https://www.baylor.edu/busmc/","Arts Design and Communication","","","","","","","",""
"Summer Arts Academy","Summer Opportunity ","As Summer Arts Academy Coordinator, it is my distinct pleasure to welcome you to the 2020 Morehead State University Summer Arts Academy. Located on the campus of Morehead State University in Morehead, Kentucky. The Morehead State University Summer Arts Academy is offering you a unique opportunity this summer in experiencing music, theatre, art and design or writing. The Academy exists to nurture students’ development in the arts in a setting which allows interaction with expert faculty and the opportunity to work with other students who share specific  interests  in the arts. You will receive individual and group instruction in your area and also be offered elective study.","Morehead State University","10,11,12","Yes","Kentucky","$525.00","6/13/2021","6/19/2021","5/20/2021","Greg","Wing","606-783-2401","g.wing@moreheadstate.edu","http://www.moreheadstate.edu/saa/","Arts Design and Communication","","","","","","","",""
"University of Miami Frost School of Music Young Musicians' Camp","Summer Opportunity ","Experience music this summer guided by our outstanding faculty! Unique Online Classes designed for musicians from 5th - 12th grade! Performance Programs in Classical Music, Jazz, Rock, Voice Composition Programs in Contemporary Songwriting and Classical Composition. EVERY PERFORMING ENSEMBLE WILL BE FEATURED IN OUR VIRTUAL FINAL CONCERT! Whether you are a South Florida student or from overseas, you are sure to grow as a musician, while having fun playing and performing with other talented young musicians.","University of Miami","9,10,11,12","No","Florida","$535.00","6/22/2021","7/3/2021","5/1/2021","Sarah","Salz","305-238-8937","youngmusicianscamp@gmail.com","http://youngmusicianscamp.com/tlp_ref=nav","Arts Design and Communication","","","","","","","",""
"Texas Star Great Debate","Summer Opportunity ","The Great Debate allows high school freshmen the opportunity to test and improve their written and verbal communication skills through organized discussions and debates about issues that impact today's Latino community. Students gain confidence in public speaking and an appreciation of communication as a powerful tool of leadership. Students gain experience creating content-rich arguments, communicating them through powerful, eloquent expression, and carefully analyzing the arguments presented by their peers.л_
 1. Complete NHI application online (this is the preferred method), or mail in a written application by deadline. (Note: Application must be signed by parent and student)
 3. Provide a transcript or recent report card of an 88 Grade Point Average (on a 100-point scale, unweighted) or better.
 4. Submit to NHI via online application or via mail. (applications without the $20 application fee will not be processed for acceptance)
 5. NHI has Gone Green! You will receive official acceptance into the program from NHI sent through e-mail. You may request a mailed copy at admissions@nhimail.com.
 6. Submit $150 deposit by designated deadline to reserve space at selected NHI program.
 For more information about the Great Debate call NHI headquarters at 512-357-6137 or e-mailл_admissions@nhimail.com","Our Lady of the Lake University","9","Yes","Texas","$595.00","6/13/2021","6/18/2021","1/1/2021","Julio","Cotto","(512) 357 – 6137","jcotto@nhimail.com","https://www.nationalhispanicinstitute.org/great-debate/","Law Government and Social Studies","","","","","","","",""
"South Carolina Commissioner's School for Agriculture","Summer Opportunity ","The South Carolina Commissioner's School for Agriculture (SCCSA) is a partnership between Clemson University and the South Carolina Department of Agriculture. л_This program strivesл_to provide a challenging and enriching college-based experiences for a limited number of rising 11th and 12th grade students. Each college-based program provides an academically focused curriculum that integrates subject matter from a variety of related disciplines with the overall theme of agriculture and natural resources.","Clemson University","11,12","Yes","South Carolina","$650.00","7/18/2021","7/24/2021","4/17/2021","SC ","Agriculuture","864.656.9112","SCCSA-L@clemson.edu ","http://www.clemson.edu/cafls/sccsa/","Technology Math and Engineering","","","","","","","",""
"Missouri Nuclear Engineering Camp","Summer Opportunity ","Missouri S&T
  Nuclear Engineering Camp
 Juniors, seniors and those going into their freshman year of college
 Registration Deadline: TBA Capacity: л_Enrollment is limited to 30 students - register early to ensure acceptance
 If you are interested in nuclear engineering, this one-week summer program will introduce you to the fascinating world of nuclear power and the outstanding opportunities in nuclear engineering.
 Eligibility: Students entering their junior or senior year of high school in August 2016, or be an entering college freshman who is still deciding on a major.л_
 Your registration will not be finalized until the following items are received:
 Transportation: л_Participants must provide their own transportation to and from Missouri S&T. USA Express provides shuttle service from Lambert-St. Louis International Airport to campus. Toll Free Phone: 1-800-872-9399 Schedule information:л_online
 Cancellation Policy: Missouri S&T reserves the right to cancel any program in the event of insufficient registrations, severe weather or natural disaster. In the event of cancellation, registrants will be notified immediately via email and phone, and all fees will be returned in full.","Missouri University of Science and Technology","11,12","Yes","Missouri","$700.00","6/14/2021","6/19/2021","5/15/2021","Dawn","Davis","573-341-4720","dawnd@mst.edu","https://futurestudents.mst.edu/summer-camps/nuclear-engineering-camp/","Technology Math and Engineering","","","","","","","",""
"Criminal Justice Summer Camp","Summer Opportunity ","Sam Houston State University
 If you have questions please contact one of our Staff Members with On-Campus Recruitment.","Sam Houston State University","9,10,11,12","Yes","Texas","$700.00","6/28/2021","7/2/2021","4/8/2021","Veronica","Hoff"," 936-294-4425","cjprograms@shsu.edu","https://www.shsu.edu/academics/criminal-justice/camps/index.html","Law Government and Social Studies","","","","","","","",""
"CJC Summer Institute","Summer Opportunity ","College of Journalism and Communications
 Incoming freshmanл_through seniors in high school Students with a passion for storytelling Newspaper and yearbook membersл_(not required to be in either)
 Advisers can sign up for information and resources to bring back to the classroomл_here.","University of Central Florida","9,10,11,12","Yes","Florida","$749.00","6/21/2021","6/26/2021","5/22/2021","Herbert","Lowe","352-294-1399","loweh@ufl.edu","https://www.jou.ufl.edu/summermediainstitute/","Arts Design and Communication","","","","","","","",""
"Wonderworks: Story Lines","Summer Opportunity ","Storytelling is inextricably linked to our DNA, and happily so. For millennia, we’ve entertained ourselves with all kinds of tales that, however conveyed and consumed, retold and remixed, drawn from life or fantastically imagined, manage to work their magic in every corner of the globe. This summer you’ll dive, head, eyes and heart first, into some of the most captivating stories ever to appear in print or on film, all in the air-conditioned comfort of Wonderworks’ digitally enhanced story cave just a hop, skip and a jump from the University of Houston’s Creative Writing Program, which helps keep us supplied with well-read, well-watched literary sherpas, year in and year out. ","Wonder Works Houston","10,11,12","Yes","Texas","$750.00","6/8/2021","7/10/2021","5/1/2021","Wonderworks","Houston","832-450-9505","info@wonderworkshouston.org","https://www.wonderworkshouston.org/story-lines","Arts Design and Communication","","","","","","","",""
"Wonderworks: Closer Looks","Summer Opportunity ","Looking imaginatively and carefully at art takes practice but comes with its own rewards. Closer Looks will introduce you to works of all kinds, from the dawn of civilization to the here and now, sung and unsung, each with its own story. To keep things real, your walking shoes will take you behind the scenes as well as through the galleries of The Menil Collection, The Museum of Fine Arts, Houston, The Kimbell Art Museum, The Amon Carter Museum of American Art, The Modern Art Museum of Fort Worth, The Blanton Museum of Art and The Harry Ransom Center of the University of Texas. Their walls speak – actually rock – but don’t take our word for it.","Wonder Works Houston","10,11,12","Yes","Texas","$750.00","6/8/2021","7/10/2021","5/1/2021","Wonderworks","Houston","832-450-9505","info@wonderworkshouston.org","https://www.wonderworkshouston.org/closer-looks","Arts Design and Communication","","","","","","","",""
"Wonderworks: Stranger than Fiction ","Summer Opportunity ","Very few things are as simple as they might seem. Stranger Than Fiction will introduce you to a world of often hidden complexity and nuance, the ins and outs of which can rival even the best mystery books. You’ll read page-turning long-form articles and excerpts from books by Lytton Strachey, A. J. Liebling, E. B. White, George Orwell, Joseph Mitchell, Joan Didion, Hunter S. Thompson, Jessica Mitford, James Baldwin, Calvin Trillin, Oliver Sacks, Jane Kramer, Michael Lewis, Janet Malcolm, and Emily Nussbaum among others. Each “morning after” you’ll retrace your steps and you’ll discuss the pieces you’ve just read in a seminar-like setting to see what makes them tick as narrative, analytic, or critical propositions. In the afternoon, you’ll watch unforgettable films based on true stories that will keep you on the edge of your seat, while also providing the grist for post-mortem appraisals of how and why they work as they do.","Wonder Works Houston","10,11,12","Yes","Texas","$750.00","6/8/2021","7/10/2021","5/1/2021","Wonderworks","Houston","832-450-9505","info@wonderworkshouston.org","https://www.wonderworkshouston.org/stranger-than-fiction","Arts Design and Communication","","","","","","","",""
"Summer Science Academy Program","Summer Opportunity ","Summer Camp Home
 The Summer Science Academy Program is a two-week science enrichment program that offers a series of lectures, labs, and field experiences for high school students. These ""hands on"" experiences are designed to heighten students' interest in science, increase awareness of careers in science and healthcare, and introduce and/or reinforce some principles of science. The Academy is divided into two groups: Academy I and Academy II. Students entering the 9th and 10th grades may participate in Academy I. Students entering the 11th and 12th grades may participate in Academy II. Topics covered in the program consist of, but are not limited to","Emory University","9,10,11,12","Yes","Georgia","$800.00","6/1/2021","6/12/2021","5/4/2021","Phylicia","Fair","404-727-0954","som-ssa@emory.edu","https://med.emory.edu/education/multicultural-med-student-affairs/summer-camps/index.html","Science Health and Medicine","","","","","","","",""
"Summer High School Scholars Program","Summer Opportunity ","A few weeks on campus: A JUMPSTART FOR THE FUTURE. Learn more about the program in the above New Educator article
 This is your invitation to participate in a program designed to assist in preparing high school students for college attendance and nurture an interest in a career in education. The MSU College of Education Summer High School Scholars Program is a residential program on the campus of Michigan State University, offering a four-week college experience for current 11th graders and two weeks for current 9th and 10th graders. The program is intended to increase college readiness, as well as nurture an interest in careers in education.
 During this academic college preparation program all travel, lodging, and meal expenses are covered for students selected to participate in the program.","Michigan State University","9,10,11","No","Michigan","$800.00","7/5/2021","7/31/2021","3/15/2021","Marini","Lee","(517) 353-5067","leemarin@msu.edu","http://www.educ.msu.edu/summerscholars/","Law Government and Social Studies","","","","","","","",""
"SMART Camp","Summer Opportunity ","Rutgers New Jersey Medical School
 SMART is a pre-college enrichment program designed to cultivate students_Сй interest in health science and research, culminating in enhanced competitiveness and expansion of the pool of underrepresented minority students interested in pursuing health-related professions. The program focuses on youth development and academic excellence, provides opportunities to students entering grades 7th _СР 12th to gain the knowledge and experiences necessary to maximize their potential for success.
 Make sure to like our facebook page!","Rutgers University","9,10,11,12","Yes","New Jersey","$900.00","6/29/2021","7/31/2021","1/15/2021","Rutgers","Smart-Program","(973) 972-5245","smartprogram@njms.rutgers.edu","http://njms.rutgers.edu/smart/","Science Health and Medicine","","","","","","","",""
"Precollege Program: App Design","Summer Opportunity ","Want to build a mobile application designed to connect women in STEM fields? Or perhaps you wish to start your own business as a nearby Techie who repairs all things related to technology? Whatever your desire, let’s create it together at online Brandeis App Design. 

In this online program, you’ll level up your coding skills with instruction and mentorship led by faculty and students from the university’s well-regarded computer science major. Together with a team of like-minded peers, you will have the incredible opportunity to: 

Create real apps using modern tools, programming languages and coding skills. 
See your app design through from concept to marketing. 
Simulate the real-world experience of remote development and team collaboration.
Present your app for feedback that will feed your desire to pursue your future career. 
Engage with a diverse community of peers who share your interest in technology. 
You do not need any programming background to make the most of this extraordinary online experience. Your apps are written using HTML and Bootstrap for the front-end and the interactivity on the client and server is handled in JavaScript using the Nodejs framework interacting with a Mongo database. You can learn all you need to know during the program!","Brandeis University","9, 10, 11, 12","Yes","Massachusetts","$950.00","7/6/2021","7/17/2021","5/1/2021","Lisa","DeBenedictis","(781) 736-8416","ldebenedictis@brandeis.edu","https://www.brandeis.edu/precollege/programs/app-design/index.html","Technology Math and Engineering","","","","","","","",""
"Sea Camp Texas A&M Galveston","Summer Opportunity ","Sea Camp was founded in 1986 and provides residential, hands-on marine adventures for 10-18 year olds during the summer months. Talented & Gifted (TAG) camps are part of Sea Camp and are for high ability students Ages 14-18. Sea Campus Kids (day camp) is also available for ages 6-11.","Texas A&M Galveston","9","No","Texas","$955.00","7/19/2021","7/25/2021","3/31/2021","Texas A&M","Outreach ","409-740-4525","seacamp@tamug.edu","https://campscui.active.com/orgs/TEXASAMGALVESTONOUTREACHDEPT?orglink=camps-registration","Science Health and Medicine","","","","","","","",""
"STEM for Scholars","Summer Opportunity ","Summer program for bright, ambitious high school students, grades 9 through 12.Monday, July 6 _СР Friday, July 31, 2015Weekdays 9 a.m. _СР 3:30 p.m.This is a non-residential program on the USF Tampa campus.
 Cost: The cost of this program is $800 plus a $35 non-refundable application fee. Limited financial aid is available. Overview: The 2015 USF STEM for Scholars Program is open to ambitious high school students entering grades 9 through 12. Through a diversity of courses the four-week program, seeks to expand student academic horizons, challenge them to become critical thinkers, prepare them for exciting careers in STEM fields, and inspire them to be creative problem-solvers. Through hands on experiences the participants will learn the art of mathematical and scientific research and discovery. Importantly, they will learn to appreciate the interdependence of the various STEM fields and the role mathematics plays in all these disciplines, including 3D visualization, computer science, and robotics. Please download the program flyer. You can also view photos from previous year's programs. Learning Outcomes: Students will learn how: л_л_л_л_ _Сў STEM Fields are Interrelated л_л_л_л_ _Сў Graphs, Knots and Braid Groups are used to study DNA, Cryptography and more л_л_л_л_ _Сў Scientific Research is Conducted л_л_л_л_ _Сў 3D Digital Documentation and Visualization are used in STEM Fields л_л_л_л_ _Сў Mathematics and Physics develop and control legged robotic systems Students will take courses in: Robotics and the Legged Locomotion Challenges Legged robots are the wave of the future. In this course students learn how mathematics and physics are used to develop and control such systems. Students will get to design and control 6-legged walking systems in a high fidelity 3D simulation environment. Mathematics: The Building Blocks of STEM This course covers mathematical topics such as: algebraic structures, computability of real numbers and recursive functions, algorithms and approximations, combinatorics, and basic notions of topology. The course will be self-contained, assuming minimal prerequisites, and taught partially as an inquiry-driven interactive classroom environment. Visualization and Printing in 3D Students receive an introduction into multiple areas of data representation. Through hands-on assignments and using computation as a tool for interpreting data, interdisciplinary problem-solving skills are bolstered. Topics will focus on visualization software, visual mathematics, info-graphics, scientific visualization, visual perception, interactive applications and design techniques and technologies.
 Computer Science This course covers hands-on activities such as: constructing graphs and trees, using BLAST tool to search for genetic sequence, searching and sorting algorithms, computer security, analyze DNA in bioinformatics to determine T. Rex's and other species living relatives. The courses listed above are taught at two challenging levels: Level I is for students entering grades 9 and 10, while Level II is for students entering grades 11 and 12. Application Process:
 To apply for the Summer 2015 STEM for Scholars Program you must submit: 1. An application form, including a 250 word essay explaining why you would like to participate in the Summer STEM Program. You may type your information into the pdf file using Acrobat Reader. When you are finished, please save the file using your name, i.e. john_smith.pdf, and return it to us by email. 2. A recommendation form from at least one science or mathematics teacher. This will be sent directly to the recommender email address(es) provided on your application form. 3. An official copy of your transcript. This must be requested from your school and can be mailed, faxed or emailed to: STEM Education Center 4202 East Fowler Avenue, CMC 342 Tampa, FL 33620 FAX: (813) 905-9830 Email: STEMEducationCenter@usf.edu
 4. A copy of your PSAT, SAT, and/or ACT scores. Submit copies of all of the above tests for which you have received scores. If you have not taken any of these tests, please note that this will not preclude your acceptance to the program. Please do not submit your test scores through the USF school code. You will need to make a copy of these scores and then mail, fax, or scan and email the copies to: STEM Education Center 4202 East Fowler Avenue, CMC 342 Tampa, FL 33620 FAX: (813) 905-9830 Email: STEMEducationCenter@usf.edu
 5. A non-refundable $35 application fee. Submit your application fee here. If you are accepted, you will be notified by email. A link will be provided through which the registration fees can be paid. The fees are due upon acceptance into the program. The application deadline has been extended to July 1, 2015. Please note: Your purchase will appear on your bank / credit card account statement as ""USF Innovative Education.""","University of South Florida","9,10,11,12","Yes","Florida","$976.00","7/13/2021","8/7/2021","6/1/2021","USF","Pre-College","","InEd-PreCollege@usf.edu","http://www.usf.edu/innovative-education/programs/pre-college/programs/stem-for-scholars.aspx","Technology, Engineering and Math","","","","","","","",""
"Wonderworks: Closer Looks","Summer Opportunity ","Wonderworks
 with the Gerald D. Hines College of Architecture, University of Houston
 BY DESIGNDownload description and application form 20th Annual Summer Discovery Program Intensive hands-on studio plus lectures and field trips 15 June - 17 July M-F, 9 AM - 3 PM plus field trips $800
 with the Jack J. Valenti School of Communication, University of Houston
 MOVING PICTURESDownload description and application form 11th Annual Filmmaking Workshop Film production plus film literature and appreciation 15 June - 17 July M-F, 9 AM - 4 PM $650
 with the Department of Art History, Rice University
 CLOSER LOOKSDownload description and application form Readings, discussions, lectures, writing practicum, and field trips. 15 June - 17 July M-F, 10 AM - 4 PM plus field trips $500
 with the English Department and Creative Writing Program, University of Houston
 with the English Department and Creative Writing Program, University of Houston
 STRANGER THAN FICTIONDownload description and application form Readings, discussions, lectures, screenings of films based on non-fiction sources, documentary films and radio, and writing practicum. 15 June - 17 July M-F, 10 AM - 4 PM $500","Rice University","10,11,12","Yes","Texas","$1,000.00","6/8/2021","7/10/2021","5/1/2021","Wonderworks","Houston","832.450.9505","info@wonderworkshouston.org","https://www.wonderworkshouston.org/closer-looks","Arts Design and Communication","","","","","","","",""
"Pre-College Summer Programs","Summer Opportunity ","Tuition, Fees and Financial Aid
 Total program cost is dependent on course enrollment. Please use the rates above to calculate the following formulas, as applicable:
 л_*All residential students must enroll as full time students and take two courses (maximum of 8 credits). Commuters/day students may take one or two courses.
 Limited financial aid is available and is awarded merit and need based. In order to be considered for financial aid students must submit the financial aid application and supporting materials by April 1, 2015.","Skidmore College","10,11,12","Yes","New York","$1,000.00","7/5/2021","8/7/2021","4/1/2021","Lilly","Routledge","518-580-5458","lroutled@skidmore.edu","https://www.skidmore.edu/precollege/","Leadership Business and Finance","","","","","","","",""
